time,signal
4.308,0.545
4.312,0.5283333333333314
4.316,0.4983333333333358
4.32,0.4599999999999955
4.324,0.4066666666666701
4.328,0.355
4.332,0.2950000000000067
4.336,0.255
4.34,0.2083333333333382
4.344,0.15
4.348,0.1150000000000014
4.352,0.1016666666666656
4.356,0.05
4.36,0.0016666666666597
4.364,-0.02
4.368,-0.0450000000000044
4.372,-0.08
4.376,-0.1033333333333372
4.38,-0.1466666666666642
4.384,-0.1833333333333328
4.388,-0.1866666666666656
4.392,-0.2
4.396,-0.2383333333333313
4.4,-0.24
4.404,-0.2466666666666671
4.408,-0.28
4.412,-0.3083333333333358
4.416,-0.3283333333333343
4.42,-0.3216666666666686
4.424,-0.3450000000000029
4.428,-0.37
4.432,-0.3549999999999977
4.436,-0.33
4.44,-0.3266666666666671
4.444,-0.365
4.448,-0.3916666666666671
4.452,-0.3916666666666671
4.456,-0.365
4.46,-0.3733333333333328
4.464,-0.38
4.468,-0.355
4.472,-0.355
4.476,-0.3666666666666671
4.48,-0.3833333333333373
4.484,-0.3649999999999985
4.488,-0.3516666666666657
